id,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,game,aggregated_rating,aggregated_rating_count,game_engines,game_modes,player_perspectives
16287,"122,498","2,601","125,099",96.52%,main_game,1501545600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Shooter', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Slime Rancher,77.66666666666667,4.0,['Unity'],['Single player'],['First person']
124333,"126,315","2,765","129,080",96.47%,main_game,1599091200,['PC (Microsoft Windows)'],"['Shooter', 'Platform', 'Indie', 'Arcade']",ULTRAKILL,,,['Unity'],['Single player'],['First person']
2025,"159,329","3,691","163,020",96.45%,main_game,1269993600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",Mount & Blade: Warband,68.6,6.0,,"['Single player', 'Multiplayer']","['First person', 'Third person']"
21642,"125,206","2,775","127,981",96.44%,main_game,1576800000,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Fighting', 'Simulator', 'Strategy', 'Indie']",Totally Accurate Battle Simulator,,,['Unity'],"['Single player', 'Multiplayer']","['First person', 'Third person', 'Bird view / Isometric']"
309607,"294,207","7,583","301,790",96.42%,main_game,1627084800,['PlayStation Portable'],[],The Binding of Isaac: Rebirth,,,,['Single player'],['Bird view / Isometric']
267639,"195,614","4,841","200,455",96.38%,mod,1545696000,['PC (Microsoft Windows)'],['Shooter'],Half-Life 2,,,['Source'],['Single player'],['First person']
131216,"46,464",816,"47,280",96.38%,main_game,1582761600,['PC (Microsoft Windows)'],['Indie'],OneShot,,,,['Single player'],
273813,"9,156",41,"9,197",96.38%,main_game,1701388800,['PC (Microsoft Windows)'],['Indie'],Cats Hidden in Jingle Jam,,,,['Single player'],['Side view']
212089,"424,130","11,749","435,879",96.36%,main_game,1698019200,['PC (Microsoft Windows)'],['Indie'],Lethal Company,,,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
133152,"117,951","2,688","120,639",96.36%,main_game,1589155200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Adventure', 'Indie']",Helltaker,,,['Unity 2019'],['Single player'],['Bird view / Isometric']
292021,"41,560",712,"42,272",96.36%,main_game,1691884800,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Simulator', 'Indie']",VPet,,,,['Single player'],
239812,"16,300",166,"16,466",96.36%,main_game,1689552000,['PC (Microsoft Windows)'],"['Puzzle', 'Adventure', 'Indie']",Cats Hidden in Paris,,,,['Single player'],['Side view']
20150,"66,436","1,328","67,764",96.35%,main_game,1555545600,"['PC (Microsoft Windows)', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Platform', 'Strategy', 'Adventure', 'Indie', 'Arcade']",Katana ZERO,84.75,10.0,['Custom built engine'],['Single player'],['Side view']
241,"234,970","6,191","241,161",96.30%,main_game,973728000,"['PC (Microsoft Windows)', 'Xbox', 'Linux', 'Mac']",['Shooter'],Counter-Strike,70.0,2.0,['GoldSrc'],['Multiplayer'],['First person']
145201,"144,960","3,541","148,501",96.29%,bundle,1253145600,"['PlayStation 2', 'PlayStation 3']",[],Resident Evil 4,,,,,
103380,"320,153","8,876","329,029",96.27%,main_game,1528934400,"['PC (Microsoft Windows)', 'visionOS', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac']","['Strategy', 'Tactical']",Bloons TD 6,,,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
17131,"267,054","7,297","274,351",96.25%,main_game,1428192000,['PC (Microsoft Windows)'],"['Racing', 'Simulator']",BeamNG.drive,,,"['Beam Next Generation', 'Torque 3D']","['Single player', 'Multiplayer']","['First person', 'Third person', 'Virtual Reality']"
20546,"128,609","3,205","131,814",96.20%,main_game,1281312000,"['PC (Microsoft Windows)', 'Mac']","['Puzzle', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",Plants vs. Zombies: Game of the Year,80.0,1.0,['Popcap Games Framework'],['Single player'],['Side view']
238347,"9,440",68,"9,508",96.16%,remaster,1680220800,['PC (Microsoft Windows)'],"['Simulator', 'Strategy', 'Indie']",Papa's Freezeria Deluxe,,,['Adobe AIR'],['Single player'],"['Bird view / Isometric', 'Text']"
131634,"18,715",257,"18,972",96.14%,main_game,1592438400,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Adventure', 'Visual Novel']",ATRI -My Dear Moments-,,,,['Single player'],
27134,"303,131","8,803","311,934",96.13%,main_game,1589328000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Shooter', 'Adventure', 'Indie']",Deep Rock Galactic,81.83333333333333,7.0,['Unreal Engine 4'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
14593,"361,198","10,758","371,956",96.12%,main_game,1487894400,"['PC (Microsoft Windows)', 'Wii U', 'Linux', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",Hollow Knight,91.25,10.0,['Unity'],['Single player'],['Side view']
139078,"79,350","1,904","81,254",96.07%,main_game,1611187200,['PC (Microsoft Windows)'],"['Simulator', 'Strategy', 'Indie']",Dyson Sphere Program,,,['Unity'],['Single player'],['Third person']
188671,"24,816",418,"25,234",96.06%,mod,1660953600,['PC (Microsoft Windows)'],['Shooter'],Entropy : Zero 2,,,['Source'],['Single player'],['First person']
533,"78,162","1,884","80,046",96.05%,main_game,1349740800,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360']","['Puzzle', 'Role-playing (RPG)', 'Adventure']",Dishonored,90.35714285714286,15.0,['Unreal Engine'],['Single player'],['First person']
26226,"105,047","2,698","107,745",96.04%,main_game,1516838400,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",Celeste,91.3,13.0,"['MonoGame', 'XNA Game Studio', 'FNA']",['Single player'],['Side view']
6705,"49,280","1,065","50,345",96.04%,main_game,1507161600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",A Hat in Time,79.6,13.0,['Unreal Engine'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']","['First person', 'Third person']"
3278,"1,066,252","35,902","1,102,154",96.03%,main_game,1103846400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Indie']",Garry's Mod,,,['Source'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
27907,"19,949",317,"20,266",95.99%,main_game,1614297600,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Music', 'Adventure', 'Indie']",Rhythm Doctor,,,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
134157,"265,176","8,013","273,189",95.98%,mod,1589673600,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",tModLoader,,,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
288623,"5,850",22,"5,872",95.98%,main_game,1715040000,"['PC (Microsoft Windows)', 'iOS']","['Strategy', 'Indie', 'Arcade']",The WereCleaner,,,['Unity'],['Single player'],['Bird view / Isometric']
119171,"640,329","21,197","661,526",95.97%,main_game,1691020800,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'Mac']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",Baldur's Gate 3,94.5,17.0,['Divinity Engine'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric']
276825,"141,439","3,956","145,395",95.96%,dlc_addon,1700006400,['Xbox One'],"['Role-playing (RPG)', 'Adventure']",Stray,,,,['Single player'],
112854,"38,760",817,"39,577",95.96%,main_game,1544054400,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie', 'Arcade']",Firework,,,,['Single player'],
122028,"11,447",131,"11,578",95.95%,main_game,1605484800,"['PC (Microsoft Windows)', 'Android', 'Linux', 'Mac']","['Simulator', 'Indie', 'Visual Novel']",Our Life: Beginnings & Always,,,,['Single player'],
27725,"14,861",212,"15,073",95.91%,main_game,1516838400,"['PC (Microsoft Windows)', 'Android', 'iOS']","['Point-and-click', 'Puzzle', 'Adventure']",The Room 4: Old Sins,80.0,1.0,,['Single player'],['First person']
152436,"11,361",134,"11,495",95.91%,main_game,1707177600,['PC (Microsoft Windows)'],"['Platform', 'Adventure', 'Indie']",Sheepy: A Short Adventure,,,,['Single player'],['Side view']
1262,"61,121","1,511","62,632",95.88%,main_game,1393804800,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One', 'Nintendo Switch']","['Role-playing (RPG)', 'Strategy', 'Adventure']",South Park™: The Stick of Truth™,80.35714285714286,17.0,['Onyx Engine'],['Single player'],"['Third person', 'Side view']"
218633,"14,640",211,"14,851",95.88%,mod,1639094400,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure']",The Chronicles Of Myrtana: Archolos,,,['ZenGin'],['Single player'],"['First person', 'Third person']"
125110,"13,232",181,"13,413",95.87%,main_game,1572480000,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",Grimm's Hollow,,,['RPG Maker 2003'],['Single player'],['Bird view / Isometric']
26855,"153,748","4,521","158,269",95.86%,main_game,1533513600,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",Dead Cells,90.08333333333333,17.0,['Heaps.io'],['Single player'],['Side view']
143025,"275,696","8,817","284,513",95.83%,bundle,1620950400,"['PlayStation 5', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Indie']",Subnautica,,,,,
164994,"35,292",785,"36,077",95.79%,main_game,1682035200,"['PC (Microsoft Windows)', 'Xbox Series X|S', 'Xbox One']","['Role-playing (RPG)', 'Simulator', 'Indie']",Volcano Princess,,,,['Single player'],['First person']
118193,"6,853",53,"6,906",95.79%,main_game,1631836800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Adventure', 'Indie']",TOEM,95.0,2.0,['Unity'],['Single player'],"['First person', 'Bird view / Isometric']"
203722,"108,123","3,118","111,241",95.77%,main_game,1687910400,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure']",DAVE THE DIVER,92.75,8.0,['Unity'],['Single player'],['Side view']
255559,"71,582","1,911","73,493",95.77%,mod,1645833600,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Indie']",OMORI,,,['RPG Maker MV'],['Single player'],['Bird view / Isometric']
127111,"33,196",738,"33,934",95.76%,episode,1404777600,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac']","['Point-and-click', 'Adventure']",The Wolf Among Us,83.6,5.0,['Telltale Tool'],['Single player'],['Third person']
198499,"16,386",274,"16,660",95.76%,main_game,1693872000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",Chants of Sennaar,80.0,3.0,['Unity'],['Single player'],['Bird view / Isometric']
1384,"95,791","2,752","98,543",95.73%,main_game,1350950400,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'Linux']","['Shooter', 'Indie', 'Arcade']",Hotline Miami,86.2,13.0,['GameMaker: Studio'],['Single player'],['Bird view / Isometric']
167078,"156,121","4,899","161,020",95.69%,bundle,1548374400,['PC (Microsoft Windows)'],['Adventure'],Resident Evil 2,,,,,
133379,"23,160",479,"23,639",95.66%,main_game,1680307200,['PC (Microsoft Windows)'],"['Fighting', 'Shooter', 'Racing', 'Adventure', 'Indie']",Crab Champions,,,,"['Single player', 'Multiplayer', 'Co-operative', 'Battle Royale']",['Third person']
199116,"77,803","2,221","80,024",95.65%,main_game,1679961600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Fighting', 'Shooter', 'Role-playing (RPG)', 'Indie', 'Arcade']",Brotato,,,['Godot'],['Single player'],['Bird view / Isometric']
251833,"49,571","1,293","50,864",95.64%,main_game,1708387200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Strategy', 'Indie', 'Card & Board Game']",Balatro,91.2,5.0,['love2d'],['Single player'],['Bird view / Isometric']
176336,"26,851",590,"27,441",95.64%,main_game,1604102400,['Web browser'],['Puzzle'],The Room,,,,,
143612,"15,648",279,"15,927",95.63%,main_game,1655337600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Shooter', 'Platform', 'Indie', 'Visual Novel']",Neon White,88.83333333333333,9.0,['Unity'],['Single player'],"['First person', 'Text']"
2935,"68,775","1,940","70,715",95.62%,main_game,1375920000,"['PC (Microsoft Windows)', 'PlayStation Vita', 'Android', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Puzzle', 'Simulator', 'Indie']","Papers, Please",82.4,5.0,['OpenFL'],['Single player'],"['First person', 'Text']"
93832,"36,200",884,"37,084",95.61%,bundle,1187136000,['PC (Microsoft Windows)'],"['Real Time Strategy (RTS)', 'Strategy']",STAR WARS™ Empire at War: Gold Pack,,,['Alamo'],"['Single player', 'Multiplayer']",['Bird view / Isometric']
249057,"7,240",76,"7,316",95.60%,main_game,1686096000,['PC (Microsoft Windows)'],['Simulator'],Steam Engine Simulator,,,,['Single player'],"['First person', 'Auditory']"
2605,"68,927","1,963","70,890",95.59%,main_game,1364947200,"['PC (Microsoft Windows)', 'Xbox 360', 'Linux', 'Mac']","['Platform', 'Puzzle', 'Adventure', 'Indie']",BattleBlock Theater,89.28571428571429,8.0,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
7046,"184,069","6,110","190,179",95.58%,main_game,1597363200,"['PC (Microsoft Windows)', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Strategy', 'Indie']",Factorio,85.5,2.0,['Proprietary Engine'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
90558,"180,597","5,991","186,588",95.58%,main_game,1725926400,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Simulator', 'Strategy', 'Adventure', 'Indie']",Satisfactory,95.0,2.0,['Unreal Engine 5'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
1871,"67,473","1,923","69,396",95.58%,main_game,1335225600,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'PlayStation 4', 'Xbox 360', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Adventure']",The Walking Dead,84.3529411764706,9.0,['Telltale Tool'],['Single player'],"['Third person', 'Bird view / Isometric']"
240496,"22,347",479,"22,826",95.57%,main_game,1679961600,"['PC (Microsoft Windows)', 'Linux', 'Mac']",['Indie'],Pineapple on pizza,,,['Unity'],['Single player'],['First person']
139090,"116,790","3,697","120,487",95.55%,main_game,1634601600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",Inscryption,82.25,5.0,['Unity'],['Single player'],"['First person', 'Bird view / Isometric']"
12517,"231,581","7,996","239,577",95.54%,main_game,1442275200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",Undertale,96.38461538461539,16.0,['GameMaker: Studio'],['Single player'],['Bird view / Isometric']
21610,"32,334",789,"33,123",95.54%,bundle,1397692800,"['PC (Microsoft Windows)', 'Nintendo 3DS', 'PlayStation 4', 'Xbox One', 'iOS', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Adventure', 'Visual Novel']",Phoenix Wright: Ace Attorney Trilogy,82.25,13.0,['Unity'],['Single player'],
9667,"156,303","5,176","161,479",95.53%,main_game,1454371200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Racing', 'Simulator', 'Indie']",American Truck Simulator,81.0,7.0,['Prism3D'],"['Single player', 'Multiplayer', 'Co-operative']","['First person', 'Third person']"
47128,"17,072",339,"17,411",95.51%,main_game,1501718400,['SteamVR'],"['Simulator', 'Indie']",VTOL VR,,,,"['Single player', 'Multiplayer', 'Co-operative']",['Virtual Reality']
136879,"888,106","34,930","923,036",95.48%,main_game,1724112000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Role-playing (RPG)', 'Adventure']",Black Myth: Wukong,88.0,5.0,['Unreal Engine 5'],['Single player'],['Third person']
153963,"23,659",540,"24,199",95.48%,main_game,1633046400,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Music', 'Role-playing (RPG)', 'Simulator', 'Indie']",东方夜雀食堂 - Touhou Mystia's Izakaya,,,,['Single player'],['Bird view / Isometric']
204122,"14,843",284,"15,127",95.47%,main_game,1657065600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Music', 'Puzzle', 'Simulator']",Placid Plastic Duck Simulator,,,,"['Single player', 'Multiplayer', 'Co-operative']","['Third person', 'Bird view / Isometric']"
131945,"4,884",35,"4,919",95.47%,main_game,1584316800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Role-playing (RPG)']",Project Kat - Paper Lily Prologue,,,['RPG Maker'],['Single player'],['Bird view / Isometric']
15465,"33,967",873,"34,840",95.46%,main_game,1466467200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie', 'Visual Novel']",VA-11 Hall-A: Cyberpunk Bartender Action,83.88888888888889,9.0,['Game Maker'],['Single player'],['Text']
132907,"21,724",490,"22,214",95.45%,main_game,1596672000,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",There Is No Game: Wrong Dimension,80.0,1.0,,['Single player'],
34052,"8,914",128,"9,042",95.45%,main_game,1275523200,"['PC (Microsoft Windows)', 'PlayStation Portable', 'Android', 'Nintendo Switch']","['Adventure', 'Visual Novel']",CLANNAD,,,,['Single player'],"['First person', 'Text']"
301578,"70,262","2,128","72,390",95.44%,pack,1706832000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",Persona 4 Golden,,,,['Single player'],['Third person']
135940,"11,180",190,"11,370",95.42%,main_game,1692316800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",Bomb Rush Cyberfunk,83.0,3.0,['Unity'],['Single player'],['Third person']
209470,"20,247",457,"20,704",95.39%,main_game,1654387200,['PC (Microsoft Windows)'],['Puzzle'],Baba Is You,,,,['Single player'],['Bird view / Isometric']
19542,"115,767","3,866","119,633",95.38%,main_game,1564444800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Strategy', 'Indie']",Oxygen Not Included,,,,['Single player'],['Side view']
8360,"15,904",336,"16,240",95.34%,main_game,1377993600,"['PC (Microsoft Windows)', 'Xbox 360', 'Android']","['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",One Finger Death Punch,90.0,2.0,['Microsoft XNA'],['Single player'],['Side view']
251557,"45,259","1,309","46,568",95.33%,main_game,1698883200,"['Meta Quest 2', 'Meta Quest 3']","['Simulator', 'Indie']",PowerWash Simulator,90.0,1.0,['Unity'],"['Single player', 'Co-operative']","['First person', 'Virtual Reality']"
36044,"17,446",384,"17,830",95.33%,main_game,1513209600,"['PC (Microsoft Windows)', 'Android', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",Finding Paradise,93.0,2.0,['RPG Maker XP'],['Single player'],['Bird view / Isometric']
141472,"767,446","31,333","798,779",95.31%,bundle,1540512000,"['PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Adventure']",The Witcher 3: Wild Hunt,,,,,
152122,"195,628","7,126","202,754",95.31%,expanded_game,1625011200,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",Doki Doki Literature Club,82.5,2.0,['Unity'],['Single player'],['Text']
233585,"31,011",828,"31,839",95.31%,main_game,1674604800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Music', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",Hi-Fi RUSH,86.16666666666667,11.0,['Unreal Engine 4'],['Single player'],['Third person']
11276,"18,454",420,"18,874",95.31%,main_game,1386806400,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Indie']",The Room Two,80.75,5.0,['Unity'],['Single player'],['First person']
3152,"104,170","3,537","107,707",95.29%,main_game,1366675200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie']",Don't Starve,78.57142857142857,8.0,,['Single player'],['Bird view / Isometric']
144569,"29,047",769,"29,816",95.29%,main_game,1699488000,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",SANABI,95.0,2.0,['Unity'],['Single player'],['Side view']
0,"6,302",78,"6,380",95.29%,main_game,,['PC (Microsoft Windows)'],"['Adventure', 'Casual', 'Simulation', 'Visual Novel']",Sabbat of the Witch,,,,['Single player'],
