_key,id,positive ratings,negative ratings,total reviews,rating percentage,info/0/id,info/0/category,info/0/cover,info/0/first_release_date,info/0/platforms/0,info/0/platforms/1,info/0/slug,info/0/summary,info/0/url,info/0/aggregated_rating,info/0/aggregated_rating_count,info/0/game_engines/0,info/0/game_modes/0,info/0/game_modes/1,info/0/game_modes/2,info/0/involved_companies/0,info/0/involved_companies/1,info/0/involved_companies/2,info/0/involved_companies/3,info/0/involved_companies/4,info/0/multiplayer_modes/0,info/0/multiplayer_modes/1,info/0/multiplayer_modes/2,info/0/multiplayer_modes/3,info/0/platforms/2,info/0/platforms/3,info/0/platforms/4,info/0/platforms/5,info/0/platforms/6,info/0/platforms/7,info/0/platforms/8,info/0/platforms/9,info/0/player_perspectives/0,info/0/storyline,info/0/game_localizations/0,info/0/game_localizations/1,info/0/game_modes/3,info/0/status,info/0/involved_companies/5,info/0/involved_companies/6,info/0/involved_companies/7,info/0/involved_companies/8,info/0/platforms/10,info/0/platforms/11,info/0/platforms/12,info/0/platforms/13,info/0/platforms/14,info/0/player_perspectives/1,info/0/player_perspectives/2,info/0/remakes/0,info/0/game_engines/1,info/0/game_engines/2,info/0/platforms/15,info/0/remasters/0,info/0/game_engines/3,info/0/remasters/1,info/0/player_perspectives/3
Left 4 Dead 2,124,"867,662","22,184","889,846",96.74%,124,0,90807,1258416000,3,6,left-4-dead-2,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",https://www.igdb.com/games/left-4-dead-2,88.6,7,3,1,2,3,7652,7653,7654,,,22812,,,,12,14,,,,,,,1,,32485,,,,,,,,,,,,,,,,,,,,,,
The Henry Stickmin Collection,120710,"45,901",624,"46,525",96.74%,120710,3,122431,1596758400,6,14,the-henry-stickmin-collection,"The Henry Stickmin Collection is a Newgrounds choose-your-own-path classic, reborn and revitalized. This 6-game epic culminates in multiple entirely canon, extremely different endings. Each step of the journey has you choose from options such as a Teleporter or calling in your buddy Charles to help you out. Correct choices will move the story forward, but incorrect choices lead to a fail. If you get to the end on your first try, you're doing it wrong. Failing is half the fun.",https://www.igdb.com/games/the-henry-stickmin-collection,,,,1,,,105468,105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Tower,135818,"60,570",971,"61,541",96.67%,135818,0,273241,1674691200,6,130,pizza-tower,"Pizza Tower is a 2D platformer mainly inspired by Wario Land and Earthworm Jim. The game has over-the-top hand-drawn animations and music. You play as Peppino Spaghetti, a manic pizza man with many abilities like charging, super jumping and dashing. Peppino has to go up each floor of the tower by finding keys, saving toppins folks and getting as many points as possible!",https://www.igdb.com/games/pizza-tower,90,1,79,1,2,3,201876,,,,,,,,,,,,,,,,,4,"Peppino Spaghetti, a surprisingly agile and powerful fat balding italian, is on a mission to destroy the titular Pizza Tower in order to save his restaurant from annihilation. Follow him through his rampage across the many wacky floors of the tower, collecting toppings and beating up monsters!",25628,,,,,,,,,,,,,,,,,,,,,,
A Short Hike,116753,"17,114",137,"17,251",96.60%,116753,0,298371,1564444800,3,6,a-short-hike,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.",https://www.igdb.com/games/a-short-hike,77.5,2,13,1,,,231609,231610,,,,,,,,14,48,49,130,,,,,3,"The main character is Claire, a young anthropomorphic bird who travels to Hawk Peak Provincial Park, where her Aunt May works as a ranger, to spend days off. However, Claire cannot get cellphone reception unless she reaches the top of the peak, and is expecting an important call. For this reason, she decides to reach the highest point in the park.",,,,,,,,,,,,,,,,,,,,,,,
Euro Truck Simulator 2,52973,"781,905","21,153","803,058",96.58%,52973,0,397441,1388448000,6,,euro-truck-simulator-2-legendary-edition,This version includes the base game plus 25 DLC.,https://www.igdb.com/games/euro-truck-simulator-2-legendary-edition,,,,1,,,116222,116223,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,
Slay the Spire,296831,"162,279","3,568","165,847",96.56%,296831,0,376277,,6,,slay-the-spire-ii,"The iconic roguelike deckbuilder returns. Craft a unique deck, encounter bizarre creatures, and discover relics of immense power in Slay the Spire 2!",https://www.igdb.com/games/slay-the-spire-ii,,,,,,,262134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slime Rancher,16287,"122,498","2,601","125,099",96.52%,16287,0,331130,1501545600,3,6,slime-rancher,"Slime Rancher is a charming, first-person, sandbox experience. Play as Beatrix LeBeau: a plucky, young rancher who sets out for a life a thousand light years away from Earth on the 'Far, Far Range.' Each day will present new challenges and risky opportunities as you attempt to amass a great fortune in the business of slime ranching. Collect colorful slimes, grow crops, harvest resources, and explore the untamed wilds through the mastery of your all-purpose vacpack.",https://www.igdb.com/games/slime-rancher,77.66666666666667,4,13,1,,,69051,69052,,,,,,,,14,48,49,,,,,,1,"Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the ‘Far, Far Range’ where she tries her hand at making a living wrangling slimes.",,,,,,,,,,,,,,,,,,,,,,,
ULTRAKILL,124333,"126,315","2,765","129,080",96.47%,124333,0,195411,1599091200,6,,ultrakill,Ultrakill is a fast-paced ultraviolent retro FPS combining the skill-based scoring from character action games with unadulterated carnage inspired by the best shooters of the 90's. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.,https://www.igdb.com/games/ultrakill,,,13,1,,,100529,108336,,,,,,,,,,,,,,,,1,"Mankind has gone extinct and the only beings left on earth are machines fueled by blood.
But now that blood is starting to run out on the surface...

Machines are racing to the depths of Hell in search of more.",,,,4,,,,,,,,,,,,,,,,,,,
Mount & Blade: Warband,2025,"159,329","3,691","163,020",96.45%,2025,0,91042,1269993600,3,6,mount-blade-warband,"In a land torn asunder by incessant warfare, it is time to assemble your own band of hardened warriors and enter the fray. Lead your men into battle, expand your realm, and claim the ultimate prize: the throne of Calradia!",https://www.igdb.com/games/mount-blade-warband,68.6,6,,1,2,,4315,4316,,,,7422,8166,,,14,48,49,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,
Totally Accurate Battle Simulator,21642,"125,206","2,775","127,981",96.44%,21642,0,87347,1576800000,6,14,totally-accurate-battle-simulator,A physics based medieval battle simulator which lets you pit wacky waving armies against each other. In Totally Accurate Battle Simulator you pit waving arm men against each other and watch them fight it out.,https://www.igdb.com/games/totally-accurate-battle-simulator,,,13,1,2,,37993,241356,241357,,,,,,,34,39,48,49,130,167,,,1,,1939,,,,,,,,,,,,,2,3,,,,,,,,
The Binding of Isaac: Rebirth,309607,"294,207","7,583","301,790",96.42%,309607,0,398960,1627084800,38,,the-binding-of-isaac-rebirth--1,,https://www.igdb.com/games/the-binding-of-isaac-rebirth--1,,,,1,,,277586,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Half-Life 2,267639,"195,614","4,841","200,455",96.38%,267639,5,336018,1545696000,6,,half-life-2-mmod-half-life-2-update--1,This mod is to run Half-Life 2: Update (itself a mod for the original Half-Life 2) under MMod.,https://www.igdb.com/games/half-life-2-mmod-half-life-2-update--1,,,3,1,,,276931,276932,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
OneShot,131216,"46,464",816,"47,280",96.38%,131216,0,121691,1582761600,6,,oneshot--1,Oneshot? An endless fast-paced 2D top-down shooter. Nearly impossible. It might be too difficult for you. Do you have the will or determination? Find out now.,https://www.igdb.com/games/oneshot--1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats Hidden in Jingle Jam,273813,"9,156",41,"9,197",96.38%,273813,0,346609,1701388800,6,,cats-hidden-in-jingle-jam,Find and discover 100 cute cats hidden around a festive holiday village in this FREE hand-drawn hidden object game. Can you find them all?,https://www.igdb.com/games/cats-hidden-in-jingle-jam,,,,1,,,241940,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Lethal Company,212089,"424,130","11,749","435,879",96.36%,212089,0,257738,1698019200,6,,lethal-company,A co-op horror roguelite about an abandoned industrial moon.,https://www.igdb.com/games/lethal-company,,,13,1,2,3,239111,,,,,25376,,,,,,,,,,,,1,"You are a contracted worker for the Company. Your job is to collect scrap from abandoned, industrialized moons to meet the Company's profit quota. You can use the cash you earn to travel to new moons with higher risks and rewards--or you can buy fancy suits and decorations for your ship. Experience nature, scanning any creature you find to add them to your bestiary. Explore the wondrous outdoors and rummage through their derelict, steel and concrete underbellies. Just never miss the quota.",,,,4,,,,,,,,,,,,,,,,,,,
Helltaker,133152,"117,951","2,688","120,639",96.36%,133152,0,102743,1589155200,3,6,helltaker,Helltaker is a short game about sharply dressed demon girls.,https://www.igdb.com/games/helltaker,,,750,1,,,100896,,,,,,,,,14,,,,,,,,3,"You woke up one day with a dream. Harem full of demon girls. You've opened the portal in hopes of fulfilling your wildest desires. Hellfire burns through your lungs, death awaits around every corner and everything looks like from a cutesy mobile game. You are in Hell.",21118,,,,,,,,,,,,,,,,,,,,,,
VPet,292021,"41,560",712,"42,272",96.36%,292021,0,369079,1691884800,6,,vpet-simulator,"VPet is a desktop pet software that supports various interactive. it is open source, free and support Steam workshops.",https://www.igdb.com/games/vpet-simulator,,,,1,,,258389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats Hidden in Paris,239812,"16,300",166,"16,466",96.36%,239812,0,319541,1689552000,6,,cats-hidden-in-paris,"Find 100 cats hiding in Paris, France in this cute hand-drawn hidden object game",https://www.igdb.com/games/cats-hidden-in-paris,,,,1,,,241943,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Katana ZERO,20150,"66,436","1,328","67,764",96.35%,20150,0,71017,1555545600,6,14,katana-zero,"Katana Zero is a fast paced neo-noir action platformer, focusing on tight, instant-death acrobatic combat, and a dark 80's neon aesthetic. Aided with your trusty katana, the time manipulation drug Chronos and the rest of your assassin's arsenal, fight your way through a fractured city, and take back what's rightfully yours.",https://www.igdb.com/games/katana-zero,84.75,10,84,1,,,129659,129661,276145,276146,,,,,,34,39,49,130,,,,,4,,25922,,,,,,,,,,,,,,,,,,,,,,
Counter-Strike,241,"234,970","6,191","241,161",96.30%,241,0,375465,973728000,3,6,counter-strike,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,https://www.igdb.com/games/counter-strike,70,2,4,2,,,5830,5831,211860,,,7856,,,,11,14,,,,,,,1,,,,,,,,,,,,,,,,,307,,,,,,,
Resident Evil 4,145201,"144,960","3,541","148,501",96.29%,145201,3,135617,1253145600,8,9,resident-evil-4-and-resident-evil-code-veronica-x-bundle,This pack includes Resident Evil 4 and Resident Evil CODE: Veronica X.,https://www.igdb.com/games/resident-evil-4-and-resident-evil-code-veronica-x-bundle,,,,,,,122888,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,
Bloons TD 6,103380,"320,153","8,876","329,029",96.27%,103380,0,76628,1528934400,6,14,bloons-td-6,"The Bloons are back and better than ever! Craft your perfect defense from a combination of awesome monkey towers, upgrades, Heroes, and activated abilities, then pop every last Bloon that comes your way!",https://www.igdb.com/games/bloons-td-6,,,13,1,2,3,72900,,,,,12840,12841,12842,,34,39,48,49,472,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
BeamNG.drive,17131,"267,054","7,297","274,351",96.25%,17131,0,84190,1428192000,6,,beamng-dot-drive,"BeamNG.drive is a realistic, immersive driving game offering near-limitless possibilities. Our soft-body physics engine simulates every component of a vehicle in real time, resulting in realistic, dynamic behavior.
The driving feel is authentic and visceral, and crashes are realistic and violent; yet the physics are accessible enough to drive with a keyboard or gamepad while still being authentic with a full racing wheel with uncompromising realism.",https://www.igdb.com/games/beamng-dot-drive,,,312,1,2,,31757,,,,,24757,24758,,,,,,,,,,,1,,,,,4,,,,,,,,,,2,7,,313,,,,,,
Plants vs. Zombies: Game of the Year,20546,"128,609","3,205","131,814",96.20%,20546,0,373745,1281312000,6,14,plants-vs-zombies-goty-edition,"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.",https://www.igdb.com/games/plants-vs-zombies-goty-edition,80,1,136,1,,,98094,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Papa's Freezeria Deluxe,238347,"9,440",68,"9,508",96.16%,238347,9,287710,1680220800,6,,papas-freezeria-deluxe,"After starting a relaxing job at the oceanfront ice cream shop on Calypso Island, things get hectic when all of Papa Louie's crazy customers arrive on the island! Now it's up to you to single-handedly craft and serve tasty sundae treats throughout the year. You'll whip up delicious Freezer sundaes by pouring ice cream, adding mixables and syrups, blending sundaes, and finally adding whipped cream and toppings for that perfect summertime treat. You'll need to multitask between each area of the restaurant, where each station is a unique hands-on experience.",https://www.igdb.com/games/papas-freezeria-deluxe,,,63,1,,,204141,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,
ATRI -My Dear Moments-,131634,"18,715",257,"18,972",96.14%,131634,0,95718,1592438400,6,130,atri-my-dear-moments,"""As the world sank, I found you."" In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. In a little town slowly being enveloped by the ocean, an unforgettable summer is about to begin for a boy and a mysterious robot girl...",https://www.igdb.com/games/atri-my-dear-moments,,,,1,,,93670,93671,93672,,,,,,,,,,,,,,,,"In the near future, a sudden and unexplained sea rise has left much of human civilization underwater.
Ikaruga Natsuki, a boy who lost his mother and his leg in an accident some years earlier, returns disillusioned from a harsh life in the big city to find his old countryside home half-swallowed by the sea.

Left without a family, all he has to his name is the ship and submarine left to him by his oceanologist grandmother, and her debts.

His only hope to restore the dreams for the future that he has lost is to take up an opportunity presented to him by the suspicious debt collector Catherine. They set sail to search the sunken ruins of his grandmother's laboratory in order to find a treasure rumor says she left there.

But what they find is not riches or jewels; it is a strange girl lying asleep in a coffin at the bottom of the sea.
Atri.

Atri is a robot, but her appearance and her wealth of emotions would fool anyone into think she's a living, breathing human being. In gratitude for being salvaged, she makes a declaration to Natsuki.

""I want to fulfill my master's final order. Until I do, I'll be your leg!""

In a little town slowly being enveloped by the ocean, an unforgettable summer is about to begin for this boy and this mysterious robot girl...",,,,,,,,,,,,,,,,,,,,,,,
Deep Rock Galactic,27134,"303,131","8,803","311,934",96.13%,27134,0,197601,1589328000,6,48,deep-rock-galactic,"Deep Rock Galactic is a first-person co-operative sci-fi shooter for up to 4 players, featuring fully procedural and destructible environments to explore, mine, and explode your way through to reach your objectives. As a team of veteran dwarven space miners, you must take on perilous missions for the interplanetary mining corporation Deep Rock Galactic and go where no-one else dares, into the deepest, most dangerous cave systems of the most hostile planet ever discovered.",https://www.igdb.com/games/deep-rock-galactic,81.83333333333333,7,439,1,2,3,226553,226554,,,,11796,11797,,,49,167,169,,,,,,1,,19948,,,,,,,,,,,,,,,,,,,,,,
Hollow Knight,14593,"361,198","10,758","371,956",96.12%,14593,0,82242,1487894400,3,6,hollow-knight,"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.",https://www.igdb.com/games/hollow-knight,91.25,10,13,1,,,228860,,,,,,,,,14,41,130,,,,,,4,,5259,25686,,,,,,,,,,,,,,,,,,,,,
Dyson Sphere Program,139078,"79,350","1,904","81,254",96.07%,139078,0,115514,1611187200,6,,dyson-sphere-program,"As an engineer of Dyson Sphere Program, you will go to an alien galaxy building “Dyson Sphere”. Collecting resources, plan and designing production lines, gradually create a full automated factory. Develop your factory from a small workshop to a huge cross-galaxy Industrial empire.",https://www.igdb.com/games/dyson-sphere-program,,,13,1,,,187245,187246,,,,,,,,,,,,,,,,2,"In the distant future, the power of science and technology has ushered a new age to the human race. Space and time have become irrelevant thanks to virtual reality. A new kind of supercomputer has been developed – a machine whose superior artificial intelligence and computing capability will push humanity even further. There is only one problem: there isn’t enough energy in the whole planet to feed this machine.

You are a space engineer in charge of a project launched by the space alliance COSMO, tasked with a massive undertaking: constructing Dyson Spheres (a megastructure that would orbit around a star, harnessing all its power and energy) to produce the energy that humanity needs. Only a few decades ago, Dyson Spheres were considered a hypothetical, impossible invention – but now it’s in your hands… Will you be able to turn a backwater space workshop into a galaxy-wide industrial production empire?

Neutron stars, white dwarfs, red giants, gaseous and rocky planets… There is a big and varied universe out there, waiting for you to gather all its resources.

Every playthrough will be unique: your universe will be procedurally generated every time you start a new game. There will be different types and distribution of stars, planets and resources. Will you manage to thrive and build your Spheres, no matter what the universe throws at you?",1714,,,4,,,,,,,,,,,,,,,,,,,
Entropy : Zero 2,188671,"24,816",418,"25,234",96.06%,188671,5,236669,1660953600,6,,entropy-zero-2,"The pessimistic, wisecracking, door-kicking zealot known as 'Bad Cop' is back.

Command a small army of Combine synths and soldiers on a Northern campaign to capture Dr. Judith Mossman.

Tread in the wake of Gordon Freeman at Nova Prospekt. Explore the mysterious 'Arbeit Communications' facility. Discover what lies beneath. Drive an APC through the arctic wastes. Confront the rebels on their doorstep and uncover a long-forgotten secret.",https://www.igdb.com/games/entropy-zero-2,,,3,1,,,182555,,,,,,,,,,,,,,,,,1,"Civil Protection Unit 3650, otherwise known as Aiden Walker, was assigned to an offsite team following an incident involving multiple other CP units. It is from here that the story of the original Entropy: Zero begins.

After the events of Entropy: Zero, Aiden Walker is brought back to life as an Overwatch Elite. His will and faculties were restored, as he was supposedly the last of his copies. His directive is to capture Judith Mossman and discover what she is looking for.

While City 17 and the surrounding coastal area serves as the visual setting for Half Life 2, Entropy: Zero 2 takes place primarily in the vast frozen tundras and mountain ranges where the Borealis was teased to be located. In fact, the video for Episode 5 shows the letter “B” for about a second and matches with the name “BOREALIS” found on the hull of a cargo ship supposedly carrying it.

The mod features three endings and one secret ending, each resulting from the player's decisions throughout the final chapter of the game.",,,,,,,,,,,,,,,,,,,,,,,
